timestamp,scenario,zone,detected_occupancy,density_score,density_growth,movement_score,convergence_score,conflict_score,bottleneck_score
50,SAFE,ZONE_C,18.77,12.38,2.54,7.48,6.19,4.09,5.1
50,SAFE,ZONE_D,14.02,8.78,2.48,7.12,4.9,3.99,3.8
55,SAFE,ZONE_A,23.29,14.52,2.21,9.87,5.74,3.74,4.51
55,SAFE,ZONE_B,30.23,15.98,2.08,13.91,9.08,4.84,5.31
55,SAFE,ZONE_C,20.77,13.57,0.62,7.84,4.74,3.5,3.74
55,SAFE,ZONE_D,17.89,13.35,1.63,6.1,4.94,3.16,3.13
60,SAFE,ZONE_A,21.35,14.41,2.12,9.5,6.71,4.26,5.29
60,SAFE,ZONE_B,26.41,17.78,5.26,13.08,7.98,5.6,5.34
60,SAFE,ZONE_C,19.81,14.24,2.02,8.63,5.29,3.5,4.18
60,SAFE,ZONE_D,15.42,12.91,2.09,6.22,5.37,2.86,3.36
65,SAFE,ZONE_A,23.1,13.36,2.47,7.87,5.22,3.24,4.17
65,SAFE,ZONE_B,30.55,18.62,3.3,13.54,8.77,5.77,6.02
65,SAFE,ZONE_C,20.82,13.42,3.51,8.59,5.99,2.8,4.16
65,SAFE,ZONE_D,17.89,8.62,2.14,8.92,5.05,2.73,3.22
70,SAFE,ZONE_A,23.95,12.84,2.27,10.94,6.14,4.51,4.27
70,SAFE,ZONE_B,32.48,20.52,2.65,11.97,9.64,5.31,7.55
70,SAFE,ZONE_C,21.65,13.11,2.4,9.24,5.96,4.25,4.47
70,SAFE,ZONE_D,16.51,9.91,1.58,7.99,3.33,3.5,3.35
75,SAFE,ZONE_A,23.16,12.84,2.34,10.57,5.1,4.37,5.15
75,SAFE,ZONE_B,30.62,20.39,3.59,13.22,9.9,5.27,5.99
75,SAFE,ZONE_C,19.8,12.52,0.0,8.81,2.7,2.53,4.63
75,SAFE,ZONE_D,17.77,8.9,2.98,8.38,5.52,2.11,4.23
80,SAFE,ZONE_A,22.69,12.31,2.71,9.28,6.73,4.17,6.16
80,SAFE,ZONE_B,30.77,19.27,2.29,13.72,8.29,6.23,5.05
80,SAFE,ZONE_C,21.16,10.78,1.73,9.88,5.28,4.95,4.37
80,SAFE,ZONE_D,17.9,8.37,1.93,7.56,5.24,3.15,3.9
85,SAFE,ZONE_A,23.35,12.88,2.85,10.13,7.69,4.7,5.35
85,SAFE,ZONE_B,30.43,16.78,2.94,13.46,8.66,5.45,6.69
85,SAFE,ZONE_C,21.16,14.16,2.45,7.58,5.64,3.62,3.47
85,SAFE,ZONE_D,19.6,11.81,0.0,6.95,4.71,2.03,3.81
90,SAFE,ZONE_A,26.03,12.74,2.24,9.07,6.36,3.42,5.61
90,SAFE,ZONE_B,32.08,17.68,4.23,14.0,9.2,6.0,7.1
90,SAFE,ZONE_C,20.27,11.39,3.12,8.7,5.55,3.62,4.63
90,SAFE,ZONE_D,19.35,9.09,2.29,6.42,4.35,4.0,3.41
95,SAFE,ZONE_A,23.63,12.47,1.99,10.41,7.4,5.5,7.27
95,SAFE,ZONE_B,35.01,18.87,3.49,12.71,8.15,4.99,6.36
95,SAFE,ZONE_C,21.7,11.14,1.59,9.86,5.51,2.88,4.85
95,SAFE,ZONE_D,18.27,8.19,3.54,8.01,4.79,3.5,2.85
100,SAFE,ZONE_A,24.72,13.11,1.14,10.47,6.15,4.1,4.87
100,SAFE,ZONE_B,32.03,19.47,3.84,12.84,9.79,6.24,6.96
100,SAFE,ZONE_C,21.58,10.56,2.65,9.58,6.19,4.15,3.61
100,SAFE,ZONE_D,19.45,10.1,1.93,6.99,4.52,3.61,4.07
105,SAFE,ZONE_A,24.03,15.65,3.03,10.15,6.04,3.4,5.03
105,SAFE,ZONE_B,31.34,19.82,4.02,12.29,9.11,6.03,6.53
105,SAFE,ZONE_C,21.5,12.09,2.13,9.8,7.14,4.89,5.57
105,SAFE,ZONE_D,18.75,10.53,2.54,7.14,6.82,2.29,4.82
110,SAFE,ZONE_A,24.3,16.56,3.06,11.39,6.54,3.74,4.76
110,SAFE,ZONE_B,32.79,17.51,5.01,15.13,9.05,6.16,5.57
110,SAFE,ZONE_C,20.97,12.94,3.17,9.14,6.12,4.36,4.67
110,SAFE,ZONE_D,19.93,9.57,3.95,8.63,5.87,3.28,3.84
115,SAFE,ZONE_A,23.44,17.07,2.35,11.36,6.29,5.07,5.78
115,SAFE,ZONE_B,30.96,19.0,3.15,14.74,10.95,5.31,6.76
115,SAFE,ZONE_C,20.16,12.08,3.12,9.12,6.35,4.31,4.51
115,SAFE,ZONE_D,17.67,11.11,3.33,7.89,4.41,3.8,4.69
120,SAFE,ZONE_A,24.44,14.54,2.54,11.07,6.72,3.83,4.69
120,SAFE,ZONE_B,33.25,21.38,3.11,14.42,10.9,5.09,6.55
120,SAFE,ZONE_C,22.52,13.1,1.67,10.65,5.74,2.96,4.11
120,SAFE,ZONE_D,19.07,11.59,2.03,6.86,4.5,2.37,4.26
125,SAFE,ZONE_A,25.08,16.55,3.25,10.62,7.39,5.4,5.81
125,SAFE,ZONE_B,32.46,18.92,4.81,14.56,8.13,6.47,7.14
125,SAFE,ZONE_C,19.98,12.77,2.48,8.97,6.7,4.21,5.13
125,SAFE,ZONE_D,18.08,10.22,0.0,6.63,6.15,2.99,4.4
130,SAFE,ZONE_A,24.35,16.06,3.52,12.39,7.38,3.94,4.78
130,SAFE,ZONE_B,35.2,18.89,3.73,15.01,10.26,6.5,6.47
130,SAFE,ZONE_C,22.25,13.51,1.07,9.04,4.53,4.07,4.97
130,SAFE,ZONE_D,16.22,12.53,2.21,8.25,7.17,4.34,3.99
135,SAFE,ZONE_A,27.6,16.88,3.09,10.58,8.48,4.07,5.18
135,SAFE,ZONE_B,34.3,18.51,4.5,13.2,10.1,5.83,6.85
135,SAFE,ZONE_C,23.34,14.26,2.96,9.0,6.72,3.78,5.03
135,SAFE,ZONE_D,17.53,10.47,2.78,7.94,5.04,4.35,4.18
140,SAFE,ZONE_A,26.24,14.41,3.29,10.92,7.66,5.63,5.95
140,SAFE,ZONE_B,34.77,20.14,3.89,16.22,9.5,6.4,8.04
140,SAFE,ZONE_C,23.38,12.23,3.5,10.28,5.64,4.74,5.59
140,SAFE,ZONE_D,21.98,11.03,3.84,8.48,6.19,3.08,3.72
145,SAFE,ZONE_A,26.39,12.5,3.31,10.35,6.49,4.32,5.73
145,SAFE,ZONE_B,32.97,20.51,4.04,14.51,11.04,5.84,6.26
145,SAFE,ZONE_C,22.19,12.05,2.21,9.16,6.9,3.63,5.47
145,SAFE,ZONE_D,19.33,12.16,2.49,6.92,4.38,2.7,3.13
150,SAFE,ZONE_A,26.95,13.45,3.43,10.82,7.28,5.51,6.41
150,SAFE,ZONE_B,36.52,23.11,4.21,13.14,9.8,6.37,7.92
150,SAFE,ZONE_C,20.3,12.79,3.04,12.24,5.43,5.13,5.34
150,SAFE,ZONE_D,18.92,12.38,2.49,6.03,5.38,3.5,5.9
155,SAFE,ZONE_A,27.73,14.93,2.9,11.2,7.81,5.07,5.36
155,SAFE,ZONE_B,32.63,20.85,5.03,13.73,10.71,7.85,8.27
155,SAFE,ZONE_C,22.91,13.24,3.36,9.74,7.76,4.03,6.09
155,SAFE,ZONE_D,16.68,10.62,3.9,8.83,6.03,3.71,4.71
160,SAFE,ZONE_A,26.02,15.46,5.53,13.41,7.01,4.85,5.17
160,SAFE,ZONE_B,34.0,20.08,5.18,13.65,10.39,6.46,9.55
160,SAFE,ZONE_C,21.46,13.09,2.19,10.45,7.82,4.3,5.23
160,SAFE,ZONE_D,20.15,10.17,3.28,7.09,5.9,3.79,4.11
165,SAFE,ZONE_A,25.15,15.64,4.54,10.92,7.24,3.79,6.15
165,SAFE,ZONE_B,34.45,22.36,3.88,16.12,10.61,6.24,8.48
165,SAFE,ZONE_C,20.89,12.96,1.82,9.18,6.91,5.19,7.4
165,SAFE,ZONE_D,19.06,10.45,1.76,8.19,4.81,3.91,3.79
170,SAFE,ZONE_A,24.59,14.71,2.93,11.67,6.43,4.25,7.83
170,SAFE,ZONE_B,36.73,20.07,3.49,15.66,9.73,6.64,8.4
170,SAFE,ZONE_C,21.81,15.02,3.34,10.04,7.14,4.48,5.57
170,SAFE,ZONE_D,20.27,9.83,2.21,8.0,6.81,3.96,4.5
175,SAFE,ZONE_A,24.4,14.1,5.16,14.78,6.98,4.97,6.65
175,SAFE,ZONE_B,32.55,18.61,5.3,15.31,8.5,7.39,8.74
175,SAFE,ZONE_C,22.21,11.68,1.96,10.94,6.64,4.14,5.57
175,SAFE,ZONE_D,20.06,8.78,2.67,10.7,5.91,3.84,5.09
180,SAFE,ZONE_A,29.07,14.3,3.54,12.76,8.34,5.02,6.39
180,SAFE,ZONE_B,34.23,19.07,5.66,16.32,12.56,7.24,8.92
180,SAFE,ZONE_C,24.14,13.64,2.72,11.61,8.19,4.84,6.3
180,SAFE,ZONE_D,20.76,8.96,1.4,9.0,5.29,4.63,4.54
185,SAFE,ZONE_A,24.56,15.27,3.58,12.32,7.62,5.58,7.27
185,SAFE,ZONE_B,35.24,21.73,5.56,17.37,10.33,6.8,8.41
185,SAFE,ZONE_C,24.93,14.84,3.78,11.08,7.4,3.93,6.18
185,SAFE,ZONE_D,16.62,9.89,0.58,8.63,5.76,3.63,5.57
190,SAFE,ZONE_A,26.99,16.05,3.89,12.2,7.55,5.54,6.56
190,SAFE,ZONE_B,36.87,22.64,4.76,15.84,11.09,6.98,9.51
190,SAFE,ZONE_C,21.16,12.59,4.38,11.41,8.24,4.47,4.94
190,SAFE,ZONE_D,21.42,11.26,1.11,9.56,6.41,4.11,5.55
195,SAFE,ZONE_A,30.04,17.59,4.21,11.54,7.31,6.11,6.88
195,SAFE,ZONE_B,32.49,19.94,4.57,14.08,10.16,6.65,8.79
195,SAFE,ZONE_C,22.95,13.73,3.44,11.79,6.82,4.89,5.11
195,SAFE,ZONE_D,17.98,13.92,2.09,9.77,4.66,3.4,5.97
200,SAFE,ZONE_A,27.75,13.67,4.69,12.85,7.38,5.17,6.95
200,SAFE,ZONE_B,37.71,20.73,4.44,16.48,11.86,6.68,8.39
200,SAFE,ZONE_C,24.1,13.67,2.82,10.51,7.02,4.56,7.1
200,SAFE,ZONE_D,19.43,12.57,3.09,8.99,7.15,3.85,3.72
205,SAFE,ZONE_A,27.24,15.48,3.92,12.25,8.45,6.38,5.04
205,SAFE,ZONE_B,37.06,20.84,5.85,16.65,11.67,6.71,9.1
205,SAFE,ZONE_C,23.4,13.43,1.79,9.94,7.01,4.35,6.89
205,SAFE,ZONE_D,18.72,12.27,3.25,7.6,5.53,3.68,4.75
210,SAFE,ZONE_A,26.94,16.11,4.28,12.22,6.99,5.74,8.11
210,SAFE,ZONE_B,36.07,19.74,4.15,17.48,10.91,6.78,9.13
210,SAFE,ZONE_C,23.41,15.32,3.56,10.95,7.21,4.81,7.18
210,SAFE,ZONE_D,17.95,10.9,2.39,10.01,6.8,3.98,4.78
215,SAFE,ZONE_A,25.11,16.99,3.83,12.63,7.62,5.39,7.87
215,SAFE,ZONE_B,38.25,18.54,4.26,15.99,12.45,7.63,9.81
215,SAFE,ZONE_C,20.28,11.43,3.11,11.01,7.88,5.13,5.76
215,SAFE,ZONE_D,20.31,10.72,2.08,8.36,5.69,3.4,5.22
220,SAFE,ZONE_A,28.41,18.1,5.08,13.21,9.91,5.9,7.6
220,SAFE,ZONE_B,35.0,20.01,5.88,17.09,11.79,7.4,9.55
220,SAFE,ZONE_C,25.39,15.12,3.73,12.03,7.6,4.55,6.57
220,SAFE,ZONE_D,21.29,9.84,3.05,9.15,6.52,4.13,4.13
225,SAFE,ZONE_A,27.2,16.15,3.62,13.85,7.63,6.15,6.94
225,SAFE,ZONE_B,37.1,22.36,6.22,15.53,9.63,8.17,10.26
225,SAFE,ZONE_C,24.13,13.93,4.8,8.69,6.3,4.21,5.88
225,SAFE,ZONE_D,18.38,11.82,3.89,7.22,6.56,4.88,5.08
230,SAFE,ZONE_A,29.51,17.03,5.68,13.67,7.37,5.68,6.31
230,SAFE,ZONE_B,35.48,19.27,5.71,18.19,12.94,7.94,9.24
230,SAFE,ZONE_C,23.67,12.17,2.87,10.35,9.44,6.04,5.89
230,SAFE,ZONE_D,21.18,10.98,3.0,7.87,4.45,4.76,4.54
235,SAFE,ZONE_A,27.08,17.99,4.77,12.32,7.87,5.78,6.33
235,SAFE,ZONE_B,35.8,21.58,5.44,16.34,13.21,8.75,10.37
235,SAFE,ZONE_C,23.6,12.64,2.16,11.16,6.72,4.94,5.1
235,SAFE,ZONE_D,19.74,10.2,2.0,9.37,5.78,4.45,5.58
240,SAFE,ZONE_A,26.95,16.6,5.22,13.7,6.89,5.98,7.28
240,SAFE,ZONE_B,35.89,22.66,6.24,17.89,12.63,8.11,10.15
240,SAFE,ZONE_C,23.08,14.24,4.01,11.76,6.51,5.53,5.7
240,SAFE,ZONE_D,20.98,12.19,4.41,8.53,6.36,4.93,6.18
245,SAFE,ZONE_A,28.66,18.21,2.68,12.56,9.24,4.88,8.3
245,SAFE,ZONE_B,38.34,22.1,4.34,17.62,11.25,7.0,10.87
245,SAFE,ZONE_C,25.25,14.09,2.65,11.09,7.89,5.42,6.2
245,SAFE,ZONE_D,18.43,11.56,4.26,10.16,6.59,4.14,5.06
250,SAFE,ZONE_A,28.68,17.33,3.9,14.03,9.67,6.0,7.48
250,SAFE,ZONE_B,40.09,23.38,6.02,18.97,11.76,7.93,8.98
250,SAFE,ZONE_C,26.67,15.35,3.57,12.21,9.18,6.25,5.48
250,SAFE,ZONE_D,21.06,11.66,3.16,9.77,5.92,4.62,7.4
255,SAFE,ZONE_A,28.6,15.31,4.27,13.12,9.16,6.49,6.61
255,SAFE,ZONE_B,38.19,21.87,4.81,17.65,11.74,8.93,10.43
255,SAFE,ZONE_C,23.05,15.95,2.96,10.18,7.28,5.35,6.3
255,SAFE,ZONE_D,18.01,12.38,2.61,10.31,6.53,4.77,6.21
260,SAFE,ZONE_A,28.08,18.16,3.82,12.5,9.05,6.42,7.39
260,SAFE,ZONE_B,37.71,22.14,5.92,17.56,10.98,7.79,9.32
260,SAFE,ZONE_C,23.52,13.39,3.25,10.67,9.52,5.3,7.02
260,SAFE,ZONE_D,21.02,13.37,1.36,11.36,6.81,4.98,4.56
265,SAFE,ZONE_A,30.32,17.44,5.11,13.92,10.78,5.81,6.01
265,SAFE,ZONE_B,35.89,22.5,6.23,16.04,11.79,8.51,10.63
265,SAFE,ZONE_C,23.82,14.0,3.27,8.94,6.62,4.06,4.85
265,SAFE,ZONE_D,19.53,12.21,3.24,10.09,7.4,3.29,6.12
270,SAFE,ZONE_A,30.78,15.89,4.54,14.72,7.66,5.2,6.32
270,SAFE,ZONE_B,39.38,21.97,5.26,16.79,12.19,8.17,10.82
270,SAFE,ZONE_C,22.8,15.84,3.82,12.91,8.08,5.63,5.82
270,SAFE,ZONE_D,20.82,11.81,2.09,10.34,4.62,4.76,4.41
275,SAFE,ZONE_A,27.23,16.99,4.89,13.72,7.83,4.58,7.5
275,SAFE,ZONE_B,39.54,21.79,4.97,17.6,12.12,7.84,9.54
275,SAFE,ZONE_C,25.42,15.14,3.41,12.21,8.22,4.84,5.68
275,SAFE,ZONE_D,20.92,11.93,4.21,9.68,6.02,4.07,6.36
280,SAFE,ZONE_A,27.75,17.03,5.04,13.6,9.59,6.12,7.85
280,SAFE,ZONE_B,38.32,21.37,5.48,18.27,11.65,8.12,10.16
280,SAFE,ZONE_C,22.88,14.38,4.15,10.88,7.8,5.53,6.91
280,SAFE,ZONE_D,21.67,11.62,3.1,8.31,6.89,3.33,6.01
285,SAFE,ZONE_A,27.42,16.27,4.65,14.31,8.67,6.31,7.3
285,SAFE,ZONE_B,36.26,21.41,7.14,16.82,10.29,6.87,10.01
285,SAFE,ZONE_C,27.01,15.82,3.09,13.37,7.37,5.82,6.54
285,SAFE,ZONE_D,21.08,14.96,2.41,9.79,8.03,5.11,5.01
290,SAFE,ZONE_A,28.32,17.49,2.9,12.2,7.81,4.6,7.02
290,SAFE,ZONE_B,38.04,21.86,6.97,15.32,12.31,8.93,9.21
290,SAFE,ZONE_C,24.08,12.13,3.76,10.14,8.57,6.11,5.94
290,SAFE,ZONE_D,21.23,12.1,3.52,9.2,6.53,3.44,5.59
295,SAFE,ZONE_A,29.62,16.16,4.66,14.59,10.06,5.96,8.45
295,SAFE,ZONE_B,37.43,21.1,5.28,17.67,13.14,9.1,9.76
295,SAFE,ZONE_C,25.15,13.43,3.4,12.47,7.77,6.24,6.16
295,SAFE,ZONE_D,21.58,11.83,2.01,10.89,6.89,3.96,5.3
0,ESCALATING,ZONE_A,23.25,13.94,2.67,16.57,6.22,7.28,4.65
0,ESCALATING,ZONE_B,35.51,17.71,3.57,19.93,9.44,6.98,11.5
0,ESCALATING,ZONE_C,22.32,18.76,2.82,7.2,10.29,6.56,5.02
0,ESCALATING,ZONE_D,22.54,15.26,2.8,9.17,5.24,4.85,8.4
5,ESCALATING,ZONE_A,26.77,16.18,5.53,12.19,4.39,3.26,4.7
5,ESCALATING,ZONE_B,32.94,20.04,5.47,19.01,11.03,9.86,8.54
5,ESCALATING,ZONE_C,22.03,17.03,2.19,14.6,7.61,5.71,5.59
5,ESCALATING,ZONE_D,20.11,13.94,5.11,7.0,7.03,3.83,0.0
10,ESCALATING,ZONE_A,23.85,17.64,2.94,19.55,4.15,6.52,3.31
10,ESCALATING,ZONE_B,36.1,21.51,5.29,18.42,10.59,9.69,9.56
10,ESCALATING,ZONE_C,22.48,17.01,1.63,7.74,7.83,6.56,6.51
10,ESCALATING,ZONE_D,15.06,9.64,3.91,10.27,5.96,8.38,1.32
15,ESCALATING,ZONE_A,25.47,17.11,0.0,14.34,11.58,5.34,6.94
15,ESCALATING,ZONE_B,35.37,20.32,5.51,18.26,10.75,12.74,7.08
15,ESCALATING,ZONE_C,23.75,13.72,5.07,11.8,5.76,4.79,10.5
15,ESCALATING,ZONE_D,19.35,13.05,1.48,10.15,2.5,7.4,2.91
20,ESCALATING,ZONE_A,28.67,16.54,3.08,8.25,9.26,6.21,3.98
20,ESCALATING,ZONE_B,36.33,25.28,5.85,24.42,9.88,9.23,6.69
20,ESCALATING,ZONE_C,19.6,15.94,0.32,11.81,6.04,1.41,6.62
20,ESCALATING,ZONE_D,23.58,12.35,5.17,10.09,5.79,3.55,5.07
25,ESCALATING,ZONE_A,27.07,15.74,3.46,15.69,5.56,8.77,3.3
25,ESCALATING,ZONE_B,35.05,23.56,7.71,19.69,13.49,8.7,8.23
25,ESCALATING,ZONE_C,22.48,9.66,5.59,15.87,10.11,6.5,6.0
25,ESCALATING,ZONE_D,20.3,10.65,3.06,8.87,10.64,4.71,8.84
30,ESCALATING,ZONE_A,25.73,22.31,7.09,14.7,6.66,5.9,7.31
30,ESCALATING,ZONE_B,41.48,24.32,5.01,17.54,9.5,11.15,8.59
30,ESCALATING,ZONE_C,26.1,19.37,6.46,10.17,7.81,6.91,1.65
30,ESCALATING,ZONE_D,19.45,13.48,0.9,9.48,6.68,8.27,5.78
35,ESCALATING,ZONE_A,27.4,17.61,5.15,14.25,6.02,6.25,9.8
35,ESCALATING,ZONE_B,36.69,23.63,8.41,17.59,9.72,10.16,11.52
35,ESCALATING,ZONE_C,24.62,21.15,5.79,16.5,8.08,6.17,7.47
35,ESCALATING,ZONE_D,22.81,14.69,7.07,10.69,11.31,4.37,3.6
40,ESCALATING,ZONE_A,24.91,17.76,3.99,15.43,8.53,10.61,9.22
40,ESCALATING,ZONE_B,37.52,22.28,8.86,18.35,11.37,8.32,13.86
40,ESCALATING,ZONE_C,22.32,13.39,7.41,16.57,6.08,8.57,6.68
40,ESCALATING,ZONE_D,17.85,19.2,5.77,10.28,9.32,6.99,10.75
45,ESCALATING,ZONE_A,25.37,20.34,4.55,14.13,10.39,7.09,10.68
45,ESCALATING,ZONE_B,38.59,26.4,10.63,27.79,9.59,9.28,9.72
45,ESCALATING,ZONE_C,24.94,17.33,7.28,13.7,11.28,7.61,8.88
45,ESCALATING,ZONE_D,17.43,13.02,3.55,6.48,9.28,5.38,8.04
50,ESCALATING,ZONE_A,26.82,17.59,5.3,14.61,12.45,9.78,13.26
50,ESCALATING,ZONE_B,36.13,22.82,8.22,18.32,14.34,11.47,13.18
50,ESCALATING,ZONE_C,22.92,21.98,6.67,15.67,5.67,5.74,10.88
50,ESCALATING,ZONE_D,25.53,13.15,4.01,12.05,9.49,5.12,5.01
55,ESCALATING,ZONE_A,33.32,17.07,7.32,13.57,9.23,7.75,6.92
55,ESCALATING,ZONE_B,39.39,27.71,8.82,27.32,14.85,8.29,10.24
55,ESCALATING,ZONE_C,25.52,12.25,8.29,12.95,12.17,7.64,8.8
55,ESCALATING,ZONE_D,23.22,15.36,1.17,9.05,10.91,7.41,5.11
60,ESCALATING,ZONE_A,27.12,19.84,5.34,19.15,9.53,15.16,9.06
60,ESCALATING,ZONE_B,35.49,26.98,10.12,21.55,19.17,13.82,15.39
60,ESCALATING,ZONE_C,27.69,15.26,4.75,14.28,11.5,5.61,4.66
60,ESCALATING,ZONE_D,21.09,14.85,7.17,9.1,6.65,7.54,7.22
65,ESCALATING,ZONE_A,29.84,17.55,11.82,20.4,12.57,7.41,11.37
65,ESCALATING,ZONE_B,37.74,25.22,11.29,23.9,12.25,13.11,14.5
65,ESCALATING,ZONE_C,27.39,16.51,6.5,10.61,9.02,8.74,11.73
65,ESCALATING,ZONE_D,22.92,12.17,6.88,15.64,9.75,7.69,7.71
70,ESCALATING,ZONE_A,27.95,25.06,10.7,18.43,7.75,8.73,13.27
70,ESCALATING,ZONE_B,39.83,26.51,11.03,23.81,17.01,15.47,18.1
70,ESCALATING,ZONE_C,24.63,22.7,6.5,14.06,14.01,9.69,8.63
70,ESCALATING,ZONE_D,20.47,15.52,9.18,13.04,7.47,6.86,8.97
75,ESCALATING,ZONE_A,33.14,24.83,6.61,19.57,15.33,8.0,12.26
75,ESCALATING,ZONE_B,40.37,28.27,13.93,26.61,16.86,16.67,18.82
75,ESCALATING,ZONE_C,26.31,22.5,11.42,14.26,11.44,9.99,8.18
75,ESCALATING,ZONE_D,21.78,17.39,8.22,16.02,12.6,10.29,6.67
80,ESCALATING,ZONE_A,31.81,21.98,6.82,18.65,13.35,11.67,11.64
80,ESCALATING,ZONE_B,44.27,34.76,12.3,25.99,18.7,15.76,15.78
80,ESCALATING,ZONE_C,26.99,19.72,11.4,19.89,11.48,9.94,12.97
80,ESCALATING,ZONE_D,21.12,16.48,6.82,11.43,9.39,7.82,7.89
85,ESCALATING,ZONE_A,30.95,23.34,12.18,19.38,13.92,12.83,9.05
85,ESCALATING,ZONE_B,39.47,31.49,13.52,27.07,18.07,14.65,19.05
85,ESCALATING,ZONE_C,26.42,21.79,9.61,15.03,10.86,13.85,11.61
85,ESCALATING,ZONE_D,22.71,20.14,8.68,20.95,11.15,8.69,10.17
90,ESCALATING,ZONE_A,33.38,24.17,12.17,23.24,11.6,9.39,15.36
90,ESCALATING,ZONE_B,43.53,33.68,20.49,28.48,21.65,15.63,16.35
90,ESCALATING,ZONE_C,31.38,19.67,11.06,24.04,11.33,7.77,15.93
90,ESCALATING,ZONE_D,24.29,18.82,13.02,13.17,13.09,10.2,6.83
95,ESCALATING,ZONE_A,33.02,25.35,11.99,23.22,18.16,15.03,14.88
95,ESCALATING,ZONE_B,47.21,30.93,15.13,28.65,21.55,16.95,19.94
95,ESCALATING,ZONE_C,26.97,21.55,10.02,19.36,12.22,11.83,14.58
95,ESCALATING,ZONE_D,25.76,21.45,7.75,15.79,8.5,7.8,14.01
100,ESCALATING,ZONE_A,29.44,27.63,16.2,23.92,15.35,16.15,18.56
100,ESCALATING,ZONE_B,47.33,32.26,15.55,32.1,23.79,18.5,17.92
100,ESCALATING,ZONE_C,27.15,20.53,11.23,15.76,13.98,13.07,13.22
100,ESCALATING,ZONE_D,23.75,16.08,10.55,15.05,11.6,12.34,9.13
105,ESCALATING,ZONE_A,37.41,24.31,14.17,24.93,18.05,13.33,18.34
105,ESCALATING,ZONE_B,44.24,35.2,21.83,28.16,23.75,22.1,17.12
